Trial,Feed.cst,Feed.csf,Frrv,Frrm,Fdelta.cst,Fdelta.csf,Prrv,Prrm,Pfeed.cst,Pfeed.csf,Pdelta.cst,Pdelta.csf,Srrv,Srrm,Sfeed.cst,Sfeed.csf,Sdelta.cst,Sdelta.csf
1,1.38,140,25.1%,41.4%,0.6,41,22.0%,43.7%,1.08,99,0.30,82,42.0%,70.2%,0.91,138,0.45,109
2,1.62,191,25.0%,40.3%,0.71,91,22.0%,47.0%,1.34,100,0.43,62,41.8%,72.1%,1.12,214,0.60,176
3,0.98,165,25.1%,35.6%,0.38,71,22.0%,41.5%,0.8,94,0.20,46,38.3%,58.7%,0.64,176,0.25,118
